,rank,fingerprint
PubchemFP213,1,>= 1 any ring size 7 
PubchemFP3,2,>= 32 H 
PubchemFP648,3,O=N-C:C-N 
PubchemFP641,4,O-C-C-C=C 
PubchemFP542,5,O-C:C-[#1] 
PubchemFP438,6,C(-C)(-N)(=N) 
PubchemFP379,7,C(~N)(:N) 
PubchemFP668,8,C-C:C-C-C 
PubchemFP372,9,C(~H)(:C)(:N) 
PubchemFP447,10,C(-H)(=N) 
PubchemFP546,11,N-C:C-[#1] 
PubchemFP301,12,N-O 
PubchemFP185,13,>= 2 any ring size 6 
PubchemFP180,14,>= 1 saturated or aromatic nitrogen-containing ring size 6 
PubchemFP590,15,C-C:C-O-[#1] 
PubchemFP363,16,C(~F)(~F) 
PubchemFP404,17,N(:C)(:C)(:C) 
PubchemFP152,18,>= 2 saturated or aromatic nitrogen-containing ring size 5 
PubchemFP396,19,N(~C)(:C) 
PubchemFP577,20,C:C-N-C:C 
PubchemFP759,21,Cc1c(Cl)cccc1 
PubchemFP655,22,O-C-C-C:C 
PubchemFP417,23,C#C 
PubchemFP494,24,O=C-C:N 
PubchemFP336,25,C(~C)(~C)(~C)(~N) 
PubchemFP536,26,O=C-C-N 
PubchemFP820,27,CC1C(S)CCCC1 
PubchemFP501,28,Cl-C:C-C 
PubchemFP362,29,C(~Cl)(:C) 
PubchemFP607,30,N-C-C-C:C 
PubchemFP571,31,[#1]-C-O-[#1] 
PubchemFP535,32,O=C-C-C 
PubchemFP580,33,O=C-C-C-N 
PubchemFP621,34,N-C:C:C:N 
PubchemFP300,35,N-N 
PubchemFP801,36,CC1CC(Cl)CCC1 
PubchemFP186,37,>= 2 saturated or aromatic carbon-only ring size 6 
PubchemFP712,38,C-C(C)-C(C)-C 
PubchemFP357,39,C(~C)(:C)(:N) 
PubchemFP386,40,C(:C)(:C)(:N) 
PubchemFP216,41,>= 1 saturated or aromatic heteroatom-containing ring size 7 
PubchemFP13,42,>= 32 C 
PubchemFP193,43,>= 3 saturated or aromatic carbon-only ring size 6 
PubchemFP373,44,C(~H)(:N) 
PubchemFP335,45,C(~C)(~C)(~C)(~H) 
PubchemFP522,46,C-N-N-[#1] 
PubchemFP636,47,C-N-C-N-C 
PubchemFP596,48,N=C-N-C-C 
PubchemFP679,49,C-C-C-C-C-C 
PubchemFP392,50,N(~C)(~C)(~H) 
PubchemFP489,51,N-C-S-C 
PubchemFP788,52,SC1CCC(N)CC1 
PubchemFP44,53,>= 2 Br 
PubchemFP652,54,O-C:C:C-N 
PubchemFP395,55,N(~C)(~O) 
PubchemFP617,56,C-C-C-O-[#1] 
PubchemFP406,57,O(~C)(~H) 
PubchemFP708,58,C-C(C)-C-C 
PubchemFP710,59,C-C-C(C)-C-C 
PubchemFP678,60,C-C-C=C-C 
PubchemFP564,61,C=C-C=C 
PubchemFP716,62,Cc1ccc(N)cc1 
PubchemFP643,63,[#1]-C-C-N-[#1] 
PubchemFP16,64,>= 4 N 
PubchemFP450,65,C(-N)(=N) 
PubchemFP405,66,O(~C)(~C) 
PubchemFP427,67,C(#C)(-C) 
PubchemFP731,68,Clc1ccc(Cl)cc1 
PubchemFP423,69,N=O 
PubchemFP822,70,CC1C(Cl)CCCC1 
PubchemFP640,71,C=C-C-C-C 
PubchemFP639,72,O-C-C-C-O 
PubchemFP452,73,C(-O)(=O) 
PubchemFP409,74,O(:C)(:C) 
PubchemFP157,75,>= 3 any ring size 5 
PubchemFP376,76,C(~N)(:C) 
PubchemFP656,77,C-C-N-C-C 
PubchemFP470,78,C:C-C=C 
PubchemFP260,79,>= 3 hetero-aromatic rings 
PubchemFP814,80,NC1CC(Br)CCC1 
PubchemFP487,81,N-C=N-C 
PubchemFP674,82,N-C-N-C:C 
PubchemFP634,83,C-C-C:C-C 
PubchemFP181,84,>= 1 saturated or aromatic heteroatom-containing ring size 6 
PubchemFP767,85,Sc1c(N)cccc1 
PubchemFP757,86,Cc1c(S)cccc1 
PubchemFP552,87,C:C-C:C 
PubchemFP597,88,O=C-C-C:C 
PubchemFP215,89,>= 1 saturated or aromatic nitrogen-containing ring size 7 
PubchemFP646,90,O=C-N-C-[#1] 
PubchemFP794,91,ClC1CCC(Cl)CC1 
PubchemFP806,92,OC1CC(Cl)CCC1 
PubchemFP660,93,C-C=C-C-C 
PubchemFP550,94,Cl-C-C-C 
PubchemFP583,95,Cl-C:C-O-C 
PubchemFP654,96,N-C-N-C-C 
PubchemFP339,97,C(~C)(~C)(~H)(~O) 
PubchemFP547,98,N-C:C-N 
PubchemFP692,99,O=C-C-C-C-C-C 
PubchemFP760,100,Cc1c(Br)cccc1 
PubchemFP758,101,Cc1c(N)cccc1 
PubchemFP673,102,O=C-C=C-N 
PubchemFP751,103,Nc1cc(Br)ccc1 
PubchemFP435,104,C(-C)(-H)(=N) 
PubchemFP703,105,O-C-C-C-C-C(N)-C 
PubchemFP702,106,O-C-C-C-C-C-N-C 
PubchemFP493,107,O=C-C:C 
PubchemFP461,108,O-C-C=N 
PubchemFP558,109,O=N-C:C 
PubchemFP612,110,N-C-O-C-C 
PubchemFP681,111,O-C-C-C-C-O 
PubchemFP557,112,N:C-O-[#1] 
PubchemFP515,113,N-N-C-C 
PubchemFP743,114,Oc1cc(Cl)ccc1 
PubchemFP616,115,C:C:N:N:C 
PubchemFP714,116,Cc1ccc(O)cc1 
PubchemFP484,117,N-C:N:C 
PubchemFP338,118,C(~C)(~C)(~H)(~N) 
PubchemFP19,119,>= 2 O 
PubchemFP725,120,Sc1ccc(N)cc1 
PubchemFP491,121,C-N:C-[#1] 
PubchemFP496,122,N:N-C-[#1] 
PubchemFP199,123,>= 4 any ring size 6 
PubchemFP187,124,>= 2 saturated or aromatic nitrogen-containing ring size 6 
PubchemFP711,125,C-C(C)(C)-C-C 
PubchemFP785,126,OC1CCC(Cl)CC1 
PubchemFP143,127,>= 1 any ring size 5 
PubchemFP206,128,>= 5 any ring size 6 
PubchemFP685,129,O=C-C-C-C-N 
PubchemFP776,130,CC1CCC(C)CC1 
PubchemFP706,131,O=C-C-C-C-C(=O)-C 
PubchemFP364,132,C(~F)(:C) 
PubchemFP722,133,Oc1ccc(Cl)cc1 
PubchemFP38,134,>= 2 Cl 
PubchemFP371,135,C(~H)(:C)(:C) 
PubchemFP591,136,Cl-C-C-C-C 
PubchemFP477,137,N-N-C:C 
PubchemFP514,138,O-N-C-C 
PubchemFP202,139,>= 4 saturated or aromatic heteroatom-containing ring size 6 
PubchemFP380,140,C(~O)(~O) 
PubchemFP431,141,C(-C)(-C)(=N) 
PubchemFP520,142,C=C-C:C 
PubchemFP686,143,O=C-C-C-C-O 
PubchemFP819,144,CC1C(O)CCCC1 
PubchemFP462,145,O-C-C=O 
PubchemFP615,146,N-C-C-O-C 
PubchemFP566,147,O-C-C-N 
PubchemFP430,148,C(-C)(-C)(=C) 
PubchemFP802,149,CC1CC(Br)CCC1 
PubchemFP388,150,C(:C)(:N)(:N) 
PubchemFP359,151,C(~C)(:N)(:N) 
PubchemFP389,152,C(:N)(:N) 
PubchemFP420,153,C=O 
PubchemFP588,154,O=C-C-C=O
PubchemFP575,155,O-C-C:C-O 
PubchemFP755,156,Cc1c(C)cccc1 
PubchemFP511,157,S=C-N-[#1] 
PubchemFP628,158,C-N-C-C:C 
PubchemFP478,159,S-C=N-[#1] 
PubchemFP390,160,N(~C)(~C) 
PubchemFP778,161,CC1CCC(S)CC1 
PubchemFP342,162,C(~C)(~Cl) 
PubchemFP568,163,N#C-C-C 
PubchemFP453,164,N(-C)(=C) 
PubchemFP823,165,CC1C(Br)CCCC1 
PubchemFP460,166,C-C-C#C 
PubchemFP129,167,>= 1 any ring size 4 
PubchemFP24,168,>= 2 F 
PubchemFP598,169,Cl-C:C:C-C 
PubchemFP545,170,N-C:C-C 
PubchemFP370,171,C(~H)(:C) 
PubchemFP739,172,Cc1cc(Br)ccc1 
PubchemFP813,173,NC1CC(Cl)CCC1 
PubchemFP777,174,CC1CCC(O)CC1 
PubchemFP377,175,C(~N)(:C)(:C) 
PubchemFP680,176,O-C-C-C-C-C 
PubchemFP609,177,Cl-C-C-N-C 
PubchemFP729,178,Nc1ccc(Cl)cc1 
PubchemFP25,179,>= 4 F 
PubchemFP446,180,C(-H)(=C) 
PubchemFP17,181,>= 8 N 
PubchemFP549,182,N-C-C:C 
PubchemFP299,183,N-H 
PubchemFP258,184,>= 2 hetero-aromatic rings 
PubchemFP437,185,C(-C)(-N)(=C) 
PubchemFP397,186,N(~C)(:C)(:C) 
PubchemFP454,187,N(-C)(=O) 
PubchemFP333,188,C(~C)(~C)(~C) 
PubchemFP400,189,N(~H)(:C)(:C) 
PubchemFP145,190,>= 1 saturated or aromatic nitrogen-containing ring size 5 
PubchemFP736,191,Cc1cc(S)ccc1 
PubchemFP792,192,NC1CCC(Cl)CC1 
PubchemFP698,193,O-C-C-C-C-C-C-C 
PubchemFP824,194,OC1C(O)CCCC1 
PubchemFP699,195,O-C-C-C-C-C(C)-C 
PubchemFP779,196,CC1CCC(N)CC1 
PubchemFP707,197,O=C-C-C-C-C(N)-C 
PubchemFP695,198,O=C-C-C-C-C-N 
PubchemFP12,199,>= 16 C 
PubchemFP611,200,N-C-C-N-C 
PubchemFP534,201,S-C:C-O 
PubchemFP337,202,C(~C)(~C)(~C)(~O) 
PubchemFP541,203,O-C:C-C 
PubchemFP619,204,O-C-C=C-C 
PubchemFP576,205,N=C-C:C-[#1] 
PubchemFP693,206,O=C-C-C-C-C-O 
PubchemFP704,207,O=C-C-C-C-C-C-C 
PubchemFP532,208,S-C:C-[#1] 
PubchemFP799,209,CC1CC(S)CCC1 
PubchemFP715,210,Cc1ccc(S)cc1 
PubchemFP2,211,>= 16 H 
PubchemFP574,212,O-C-C:C-C 
PubchemFP498,213,O-C=C-C 
PubchemFP647,214,O=C-N-C-N 
PubchemFP195,215,>= 3 saturated or aromatic heteroatom-containing ring size 6 
PubchemFP374,216,C(~H)(~H)(~H) 
PubchemFP688,217,C-C-C-C-C-C-C 
PubchemFP383,218,C(~S)(:C) 
PubchemFP629,219,S-C:C:C-N 
PubchemFP830,220,SC1C(N)CCCC1 
PubchemFP560,221,N-C-N-C 
PubchemFP812,222,NC1CC(N)CCC1 
PubchemFP738,223,Cc1cc(Cl)ccc1 
PubchemFP756,224,Cc1c(O)cccc1 
PubchemFP153,225,>= 2 saturated or aromatic heteroatom-containing ring size 5 
PubchemFP179,226,>= 1 saturated or aromatic carbon-only ring size 6 
PubchemFP261,227,>= 4 aromatic rings 
PubchemFP544,228,O-C:C-O 
PubchemFP587,229,N-C:C-O-[#1] 
PubchemFP559,230,O-C-N-[#1] 
PubchemFP518,231,O=C-N-N 
PubchemFP257,232,>= 2 aromatic rings 
PubchemFP132,233,>= 1 saturated or aromatic heteroatom-containing ring size 4 
PubchemFP687,234,O=C-C-C-C=O 
PubchemFP691,235,O-C-C-C-C-C-N 
PubchemFP346,236,C(~C)(~H)(~O) 
PubchemFP347,237,C(~C)(~H)(~O)(~O) 
PubchemFP499,238,N-C:C:N 
PubchemFP471,239,S:C:C:C 
PubchemFP586,240,C-S-C-C-C 
PubchemFP146,241,>= 1 saturated or aromatic heteroatom-containing ring size 5 
PubchemFP817,242,BrC1CC(Br)CCC1 
PubchemFP403,243,N(:C)(:C) 
PubchemFP600,244,N-C:C:C-C 
PubchemFP343,245,C(~C)(~Cl)(~H) 
PubchemFP391,246,N(~C)(~C)(~C) 
PubchemFP334,247,C(~C)(~C)(~C)(~C) 
PubchemFP394,248,N(~C)(~H)(~N) 
PubchemFP419,249,C#N 
PubchemFP523,250,N:C:C-C 
PubchemFP528,251,[#1]-N-C-[#1] 
PubchemFP791,252,NC1CCC(N)CC1 
PubchemFP750,253,Nc1cc(Cl)ccc1 
PubchemFP770,254,Nc1c(N)cccc1 
PubchemFP821,255,CC1C(N)CCCC1 
PubchemFP784,256,OC1CCC(N)CC1 
PubchemFP537,257,O=C-C-O 
PubchemFP818,258,CC1C(C)CCCC1 
PubchemFP754,259,Brc1cc(Br)ccc1 
PubchemFP713,260,Cc1ccc(C)cc1 
PubchemFP384,261,C(:C)(:C) 
PubchemFP502,262,N-C=C-[#1] 
PubchemFP439,263,C(-C)(-N)(=O) 
PubchemFP451,264,C(-N)(=O) 
PubchemFP671,265,O=C-C=C-C 
PubchemFP531,266,S-C:C-C 
PubchemFP540,267,C-N-C-[#1] 
PubchemFP803,268,OC1CC(O)CCC1 
PubchemFP429,269,C(#N)(-C) 
PubchemFP676,270,N#C-C-C-C 
PubchemFP214,271,>= 1 saturated or aromatic carbon-only ring size 7 
PubchemFP650,272,O=C-N-C=O 
PubchemFP696,273,C-C-C-C-C-C-C-C 
PubchemFP328,274,C(~Br)(~C)(~C) 
PubchemFP361,275,C(~Cl)(~H) 
PubchemFP15,276,>= 2 N 
PubchemFP418,277,C=N 
PubchemFP474,278,S:C:C:N 
PubchemFP147,279,>= 1 unsaturated non-aromatic carbon-only ring size 5 
PubchemFP255,280,>= 1 aromatic ring 
PubchemFP159,281,>= 3 saturated or aromatic nitrogen-containing ring size 5 
PubchemFP761,282,Oc1c(O)cccc1 
PubchemFP517,283,N-N-C-N 
PubchemFP684,284,O=C-C-C-C-C 
PubchemFP579,285,O=C-C-C-C 
PubchemFP115,286,>= 1 any ring size 3 
PubchemFP605,287,O=C-C-O-C 
PubchemFP355,288,C(~C)(:C) 
PubchemFP381,289,C(~O)(:C) 
PubchemFP631,290,O-C:C-O-[#1] 
PubchemFP20,291,>= 4 O 
PubchemFP543,292,O-C:C-N 
PubchemFP368,293,C(~H)(~S) 
PubchemFP524,294,C-C=C-C 
PubchemFP516,295,[#1]-C=C-[#1] 
PubchemFP331,296,C(~Br)(:N) 
PubchemFP839,297,CC1CC(C)CC1 
PubchemFP562,298,Br-C-C=O 
PubchemFP665,299,N-C:C-C-C 
PubchemFP421,300,C=S 
PubchemFP122,301,>= 2 any ring size 3 
PubchemFP349,302,C(~C)(~H)(~S) 
PubchemFP465,303,O=S-C-C 
PubchemFP459,304,S(=O)(=O) 
PubchemFP720,305,Oc1ccc(S)cc1 
PubchemFP809,306,SC1CC(N)CCC1 
PubchemFP658,307,C-C-S-C-C 
PubchemFP763,308,Oc1c(N)cccc1 
PubchemFP603,309,C-C:C:C-C 
PubchemFP259,310,>= 3 aromatic rings 
PubchemFP399,311,N(~H)(:C) 
PubchemFP262,312,>= 4 hetero-aromatic rings 
PubchemFP500,313,C-S-C:C 
PubchemFP305,314,N-S 
PubchemFP664,315,C-C=C-C=C 
PubchemFP584,316,C:C-C=C-C 
PubchemFP144,317,>= 1 saturated or aromatic carbon-only ring size 5 
PubchemFP783,318,OC1CCC(S)CC1 
PubchemFP834,319,NC1C(Cl)CCCC1 
PubchemFP782,320,OC1CCC(O)CC1 
PubchemFP749,321,Nc1cc(N)ccc1 
PubchemFP23,322,>= 1 F 
PubchemFP123,323,>= 2 saturated or aromatic carbon-only ring size 3 
PubchemFP351,324,C(~C)(~N) 
PubchemFP657,325,C-N-C:C-C 
PubchemFP606,326,O-C:C-C-C 
PubchemFP642,327,O-C-C-C=O 
PubchemFP719,328,Oc1ccc(O)cc1 
PubchemFP551,329,Cl-C-C-O 
PubchemFP700,330,O-C-C-C-C-C-O-C 
PubchemFP356,331,C(~C)(:C)(:C) 
PubchemFP434,332,C(-C)(-H)(=C) 
PubchemFP160,333,>= 3 saturated or aromatic heteroatom-containing ring size 5 
PubchemFP718,334,Cc1ccc(Br)cc1 
PubchemFP632,335,C-C-O-C:C 
PubchemFP414,336,S(~C)(~O) 
PubchemFP677,337,C-C=C-C:C 
PubchemFP630,338,O-C:C-O-C 
PubchemFP14,339,>= 1 N 
PubchemFP449,340,C(-N)(=C) 
PubchemFP672,341,O=C-C=C-[#1] 
PubchemFP519,342,N=C-N-C 
PubchemFP633,343,N-C-C:C-C 
PubchemFP595,344,C:C-C-C-C 
PubchemFP527,345,C:C:N-[#1] 
PubchemFP285,346,C-N 
PubchemFP771,347,Nc1c(Cl)cccc1 
PubchemFP578,348,C-C:C-C:C 
PubchemFP385,349,C(:C)(:C)(:C) 
PubchemFP539,350,N=C-C-[#1] 
PubchemFP475,351,S-C=N-C 
PubchemFP593,352,N-C-C-C-N 
PubchemFP651,353,O-C:C:C-C 
PubchemFP638,354,O-C-C-C-N 
PubchemFP378,355,C(~N)(:C)(:N) 
PubchemFP608,356,C-C-C-C:C 
PubchemFP530,357,N:C-C:C 
PubchemFP387,358,C(:C)(:N) 
PubchemFP721,359,Oc1ccc(N)cc1 
PubchemFP466,360,N#C-C=C 
PubchemFP780,361,CC1CCC(Cl)CC1 
PubchemFP746,362,Sc1cc(N)ccc1 
PubchemFP505,363,Cl-C:C-O 
PubchemFP826,364,OC1C(N)CCCC1 
PubchemFP448,365,C(-H)(=O)
PubchemFP740,366,Oc1cc(O)ccc1 
PubchemFP201,367,>= 4 saturated or aromatic nitrogen-containing ring size 6 
PubchemFP18,368,>= 1 O 
PubchemFP842,369,CC1CC(N)CC1 
PubchemFP860,370,CC1C(C)CCC1 
PubchemFP442,371,C(-C)(=N) 
PubchemFP358,372,C(~C)(:N) 
PubchemFP604,373,C-O-C-C:C 
PubchemFP781,374,CC1CCC(Br)CC1 
PubchemFP582,375,C-C-C-C-C 
PubchemFP149,376,>= 1 unsaturated non-aromatic heteroatom-containing ring size 5 
PubchemFP667,377,C=C-C-O-[#1] 
PubchemFP43,378,>= 1 Br 
PubchemFP670,379,Br-C:C:C-C 
PubchemFP863,380,CC1C(N)CCC1 
PubchemFP585,381,C-C:C-N-C 
PubchemFP581,382,O=C-C-C-O 
PubchemFP682,383,O-C-C-C-C-N 
PubchemFP116,384,>= 1 saturated or aromatic carbon-only ring size 3 
PubchemFP599,385,[#1]-C-C=C-[#1] 
PubchemFP287,386,C-F 
PubchemFP538,387,N=C-C-C
PubchemFP800,388,CC1CC(N)CCC1 
PubchemFP340,389,C(~C)(~C)(~N) 
PubchemFP594,390,C-O-C-C=C 
PubchemFP554,391,Br-C-C-C 
PubchemFP495,392,C-N-C:C 
PubchemFP728,393,Nc1ccc(N)cc1 
PubchemFP188,394,>= 2 saturated or aromatic heteroatom-containing ring size 6 
PubchemFP192,395,>= 3 any ring size 6 
PubchemFP653,396,O-C:C:C-O 
PubchemFP620,397,C:C-O-C-C 
PubchemFP480,398,C:S:C-C 
PubchemFP436,399,C(-C)(-H)(=O) 
PubchemFP659,400,O-C-C-N-C 
PubchemFP256,401,>= 1 hetero-aromatic ring 
PubchemFP553,402,O=C-C=C 
PubchemFP798,403,CC1CC(O)CCC1 
PubchemFP645,404,O=C-N-C-C 
PubchemFP286,405,C-O 
PubchemFP828,406,OC1C(Br)CCCC1 
PubchemFP330,407,C(~Br)(:C) 
PubchemFP297,408,C-Br 
PubchemFP488,409,N-C=N-[#1]
PubchemFP200,410,>= 4 saturated or aromatic carbon-only ring size 6 
PubchemFP567,411,O-C-C-O 
PubchemFP663,412,O-C-C-O-[#1] 
PubchemFP625,413,O=C-C:C-O 
PubchemFP464,414,N-C-C=C 
PubchemFP717,415,Cc1ccc(Cl)cc1 
PubchemFP37,416,>= 1 Cl 
PubchemFP752,417,Clc1cc(Cl)ccc1 
PubchemFP148,418,>= 1 unsaturated non-aromatic nitrogen-containing ring size 5 
PubchemFP666,419,C=C-C-O-C 
PubchemFP194,420,>= 3 saturated or aromatic nitrogen-containing ring size 6 
PubchemFP492,421,N-C:O:C 
PubchemFP690,422,O-C-C-C-C-C-O 
PubchemFP765,423,Oc1c(Br)cccc1 
PubchemFP353,424,C(~C)(~S) 
PubchemFP601,425,N-C:C:C-N 
PubchemFP327,426,C(~Br)(~C) 
PubchemFP637,427,O-C-C-C-C 
PubchemFP689,428,O-C-C-C-C-C-C 
PubchemFP138,429,>= 2 saturated or aromatic nitrogen-containing ring size 4 
PubchemFP635,430,N-N-C-N-[#1] 
PubchemFP440,431,C(-C)(-O)(=O) 
PubchemFP569,432,N-C-C-N 
PubchemFP701,433,O-C-C-C-C-C(O)-C 
PubchemFP139,434,>= 2 saturated or aromatic heteroatom-containing ring size 4 
PubchemFP393,435,N(~C)(~H) 
PubchemFP572,436,N:C:N:C 
PubchemFP504,437,N:C:N-C 
PubchemFP815,438,ClC1CC(Cl)CCC1 
PubchemFP618,439,C:C-C-C:C 
PubchemFP33,440,>= 1 S 
PubchemFP398,441,N(~H)(~N) 
PubchemFP509,442,Br-C:C-C 
PubchemFP131,443,>= 1 saturated or aromatic nitrogen-containing ring size 4 
PubchemFP533,444,S-C:C-N 
PubchemFP294,445,C-Cl 
PubchemFP136,446,>= 2 any ring size 4 
PubchemFP467,447,C=N-N-C 
PubchemFP401,448,N(~O)(~O) 
PubchemFP455,449,N(-O)(=O) 
PubchemFP483,450,N-S-C:C 
PubchemFP623,451,O=C-C:C-C 
PubchemFP555,452,N=C-C=C 
PubchemFP150,453,>= 2 any ring size 5 
PubchemFP508,454,S=C-N-C 
PubchemFP735,455,Cc1cc(O)ccc1 
PubchemFP737,456,Cc1cc(N)ccc1 
PubchemFP21,457,>= 8 O 
PubchemFP341,458,C(~C)(~C)(~O) 
PubchemFP366,459,C(~H)(~O) 
PubchemFP694,460,O=C-C-C-C-C=O 
PubchemFP797,461,CC1CC(C)CCC1 
PubchemFP644,462,C-C=N-N-C 
PubchemFP675,463,Br-C-C-C:C 
PubchemFP457,464,S(-C)(=O) 
PubchemFP669,465,Cl-C:C-C=O 
PubchemFP662,466,O-C-C-O-C 
PubchemFP854,467,NC1CC(N)CC1 
PubchemFP827,468,OC1C(Cl)CCCC1 
PubchemFP445,469,C(-H)(-N)(=C) 
PubchemFP365,470,C(~H)(~N) 
PubchemFP833,471,NC1C(N)CCCC1 
PubchemFP485,472,N:C:C:N 
PubchemFP184,473,>= 1 unsaturated non-aromatic heteroatom-containing ring size 6 
PubchemFP836,474,ClC1C(Cl)CCCC1 
PubchemFP473,475,S-C:N:C 
